Кол-во элементов;Кол-во перестановок;Кол-во итераций;Время на сортировку;Тип сортировки
10000;24952888;24962887;0.847476;insertionSort
10500;27539413;27549912;0.951846;insertionSort
11000;30173355;30184354;0.928630;insertionSort
11500;33494764;33506263;1.038862;insertionSort
12000;36200649;36212648;1.121667;insertionSort
12500;39196695;39209194;1.192083;insertionSort
13000;42516449;42529448;1.281420;insertionSort
13500;45812089;45825588;1.351758;insertionSort
14000;49180885;49194884;1.500431;insertionSort
14500;52188458;52202957;1.549684;insertionSort
15000;56041139;56056138;1.676129;insertionSort
15500;60126148;60141647;1.796365;insertionSort
16000;64507732;64523731;1.950842;insertionSort
16500;68223852;68240351;2.008204;insertionSort
17000;72688568;72705567;2.144853;insertionSort
17500;76680017;76697516;2.255516;insertionSort
18000;80866253;80884252;2.397155;insertionSort
18500;85302789;85321288;2.509066;insertionSort
19000;89894528;89913527;2.678657;insertionSort
19500;95298924;95318423;2.792054;insertionSort
20000;100526663;100546662;2.929118;insertionSort
20500;105302382;105322881;3.103159;insertionSort
21000;109225728;109246727;3.161228;insertionSort
21500;114859444;114880943;3.380983;insertionSort
22000;120516463;120538462;3.523715;insertionSort
22500;126879563;126902062;3.770661;insertionSort
23000;132337972;132360971;3.855111;insertionSort
23500;138221934;138245433;4.192006;insertionSort
24000;143991683;144015682;4.302217;insertionSort
24500;148725133;148749632;4.489307;insertionSort
25000;156760920;156785919;4.654658;insertionSort
25500;161920743;161946242;4.721176;insertionSort
26000;169140562;169166561;5.097780;insertionSort
26500;175900088;175926587;5.179723;insertionSort
27000;182014189;182041188;5.435192;insertionSort
27500;191072349;191099848;5.970167;insertionSort
28000;196224515;196252514;5.964347;insertionSort
28500;202751417;202779916;6.442537;insertionSort
29000;210539558;210568557;6.453763;insertionSort
29500;218953442;218982941;6.654745;insertionSort
30000;225788435;225818434;6.754219;insertionSort
30500;232693152;232723651;6.952850;insertionSort
31000;239994829;240025828;7.138242;insertionSort
31500;248162920;248194419;7.543339;insertionSort
32000;256025907;256057906;7.803666;insertionSort
32500;265553757;265586256;8.257392;insertionSort
33000;273508122;273541121;8.265319;insertionSort
33500;282425781;282459280;8.480819;insertionSort
34000;289708264;289742263;8.693835;insertionSort
34500;296444850;296479349;8.859025;insertionSort
35000;305772366;305807365;9.084644;insertionSort
35500;315393569;315429068;9.450829;insertionSort
36000;325301812;325337811;9.764172;insertionSort
36500;331153724;331190223;9.947829;insertionSort
37000;342526307;342563306;10.393837;insertionSort
37500;349391619;349429118;10.418030;insertionSort
38000;360434875;360472874;10.866490;insertionSort
38500;371976604;372015103;11.253407;insertionSort
39000;379461861;379500860;11.455497;insertionSort
39500;389740013;389779512;11.768607;insertionSort
40000;399041372;399081371;11.939305;insertionSort
40500;408700853;408741352;12.300093;insertionSort
41000;419635742;419676741;12.668219;insertionSort
41500;430311298;430352797;12.918103;insertionSort
42000;442043947;442085946;13.469567;insertionSort
42500;451862988;451905487;13.510907;insertionSort
43000;461308554;461351553;13.746493;insertionSort
43500;474162119;474205618;14.225860;insertionSort
44000;484852205;484896204;15.005298;insertionSort
44500;497244465;497288964;16.387786;insertionSort
45000;506308367;506353366;17.692555;insertionSort
45500;517355079;517400578;16.127398;insertionSort
46000;534089157;534135156;16.777998;insertionSort
46500;540370043;540416542;17.015982;insertionSort
47000;553106121;553153120;17.652608;insertionSort
47500;564873200;564920699;18.004223;insertionSort
48000;574484946;574532945;18.298012;insertionSort
48500;590104544;590153043;18.907281;insertionSort
49000;598140450;598189449;18.940786;insertionSort
49500;612217384;612266883;19.663122;insertionSort
50000;624393605;624443604;19.729053;insertionSort
50500;636669984;636720483;20.755956;insertionSort
51000;648907927;648958926;20.340650;insertionSort
51500;664217659;664269158;20.383494;insertionSort
52000;674567211;674619210;20.466451;insertionSort
52500;693414664;693467163;21.298722;insertionSort
53000;698749309;698802308;20.960730;insertionSort
53500;716217297;716270796;22.019082;insertionSort
54000;726902584;726956583;22.469455;insertionSort
54500;741136181;741190680;22.648562;insertionSort
55000;757467627;757522626;22.909992;insertionSort
55500;770077315;770132814;23.828558;insertionSort
56000;782474482;782530481;23.606519;insertionSort
56500;796835330;796891829;23.516992;insertionSort
57000;813102943;813159942;23.698760;insertionSort
57500;823523210;823580709;23.788472;insertionSort
58000;844561179;844619178;24.319741;insertionSort
58500;855358309;855416808;24.810795;insertionSort
59000;875667627;875726626;25.315102;insertionSort
59500;885213269;885272768;25.681798;insertionSort
60000;896798611;896858610;26.221189;insertionSort
60500;913939307;913999806;26.647682;insertionSort
61000;929612426;929673425;26.747789;insertionSort
61500;945659994;945721493;27.713707;insertionSort
62000;963469955;963531954;28.534185;insertionSort
62500;977205213;977267712;28.929127;insertionSort
63000;991060483;991123482;28.806659;insertionSort
63500;1006798656;1006862155;29.587554;insertionSort
64000;1024356838;1024420837;29.769111;insertionSort
64500;1039543452;1039607951;30.268255;insertionSort
65000;1058062355;1058127354;30.987789;insertionSort
65500;1068185243;1068250742;30.249876;insertionSort
66000;1086945033;1087011032;31.019725;insertionSort
66500;1110507899;1110574398;31.368963;insertionSort
67000;1121257340;1121324339;31.979403;insertionSort
67500;1137595745;1137663244;32.465860;insertionSort
68000;1157421677;1157489676;32.786209;insertionSort
68500;1177496681;1177565180;33.355413;insertionSort
69000;1188733497;1188802496;33.758415;insertionSort
69500;1206895880;1206965379;34.222655;insertionSort
70000;1230308546;1230378545;35.021276;insertionSort
70500;1244547341;1244617840;35.108433;insertionSort
71000;1260028311;1260099310;35.539850;insertionSort
71500;1271737447;1271808946;36.238975;insertionSort
72000;1294379676;1294451675;36.588187;insertionSort
72500;1313310919;1313383418;37.270056;insertionSort
73000;1333617342;1333690341;37.800959;insertionSort
73500;1352580633;1352654132;38.229660;insertionSort
74000;1365203766;1365277765;38.783828;insertionSort
74500;1385510361;1385584860;39.951039;insertionSort
75000;1405714914;1405789913;40.394014;insertionSort
75500;1426011741;1426087240;40.792426;insertionSort
76000;1444622194;1444698193;41.435331;insertionSort
76500;1466818155;1466894654;41.892020;insertionSort
77000;1475944493;1476021492;41.860247;insertionSort
77500;1501717098;1501794597;42.188908;insertionSort
78000;1518582230;1518660229;43.557789;insertionSort
78500;1546113203;1546191702;44.575328;insertionSort
79000;1574310154;1574389153;44.963295;insertionSort
79500;1580711554;1580791053;45.748315;insertionSort
80000;1593539399;1593619398;46.039461;insertionSort
80500;1616328001;1616408500;46.287758;insertionSort
81000;1637204217;1637285216;46.651783;insertionSort
81500;1660813116;1660894615;47.227301;insertionSort
82000;1688711559;1688793558;47.795191;insertionSort
82500;1700845123;1700927622;48.174690;insertionSort
83000;1715699451;1715782450;48.863058;insertionSort
83500;1731616878;1731700377;49.527920;insertionSort
84000;1770688887;1770772886;50.182365;insertionSort
84500;1779433871;1779518370;50.344278;insertionSort
85000;1803490946;1803575945;50.644754;insertionSort
85500;1830739931;1830825430;51.418359;insertionSort
86000;1853013758;1853099757;52.030889;insertionSort
86500;1877059594;1877146093;53.073914;insertionSort
87000;1892355892;1892442891;53.528852;insertionSort
87500;1907833537;1907921036;54.460368;insertionSort
88000;1937369369;1937457368;54.758976;insertionSort
88500;1963674457;1963762956;56.157338;insertionSort
89000;1981188039;1981277038;56.746859;insertionSort
89500;2003214085;2003303584;57.715889;insertionSort
90000;2025054437;2025144436;58.021913;insertionSort
90500;2045024478;2045114977;58.755009;insertionSort
91000;2065571260;2065662259;58.793683;insertionSort
91500;2090350443;2090441942;58.942580;insertionSort
92000;2112077629;2112169628;59.585464;insertionSort
92500;2138339921;2138432420;60.744806;insertionSort
93000;2159107232;2159200231;61.325047;insertionSort
93500;2189182374;2189275873;62.058275;insertionSort
94000;2214157802;2214251801;62.805440;insertionSort
94500;2232841125;2232935624;63.534712;insertionSort
95000;2250889251;2250984250;63.837986;insertionSort
95500;2280904018;2280999517;64.773366;insertionSort
96000;2305426380;2305522379;64.068773;insertionSort
96500;2326758912;2326855411;65.164841;insertionSort
97000;2344326754;2344423753;65.546048;insertionSort
97500;2377529671;2377627170;66.047183;insertionSort
98000;2396950156;2397048155;66.424397;insertionSort
