Кол-во элементов;Кол-во перестановок;Кол-во итераций;Время на сортировку;Тип сортировки
10000;24952888;37768542;0.974872;shakerSort
10500;27539413;41542528;1.110583;shakerSort
11000;30173355;45594200;1.092455;shakerSort
11500;33494764;50349656;1.162186;shakerSort
12000;36200649;54274942;1.261525;shakerSort
12500;39196695;58631232;1.375037;shakerSort
13000;42516449;63556608;1.570884;shakerSort
13500;45812089;68478550;1.611032;shakerSort
14000;49180885;73959822;1.761641;shakerSort
14500;52188458;78640358;1.839549;shakerSort
100;2360;3896;0.000090;shakerSort
1000;246841;375500;0.009263;shakerSort
10000;25022466;37654520;1.106857;shakerSort
100000;2506388464;3758336056;88.496826;shakerSort
1000000;867975522;1503290468;8402.196577;shakerSort
15000;56041139;84247356;1.990973;shakerSort
15500;60126148;90109248;2.117570;shakerSort
16000;64507732;96779198;2.256427;shakerSort
16500;68223852;102233856;2.403884;shakerSort
17000;72688568;109026536;2.582618;shakerSort
17500;76680017;116084776;2.741908;shakerSort
18000;80866253;121409950;2.765222;shakerSort
18500;85302789;129025512;2.974857;shakerSort
19000;89894528;135137188;3.163584;shakerSort
19500;95298924;143312512;3.296147;shakerSort
20000;100526663;151518296;3.530307;shakerSort
20500;105302382;158349512;3.656966;shakerSort
21000;109225728;164054688;3.856216;shakerSort
21500;114859444;173225440;4.033661;shakerSort
22000;120516463;180838200;4.177113;shakerSort
22500;126879563;189911232;4.467469;shakerSort
23000;132337972;199074640;4.694160;shakerSort
23500;138221934;207269888;4.993045;shakerSort
24000;143991683;217930878;5.027497;shakerSort
24500;148725133;225093750;5.473115;shakerSort
25000;156760920;234487460;5.593453;shakerSort
25500;161920743;243575780;5.728102;shakerSort
26000;169140562;254407550;6.099072;shakerSort
26500;175900088;264084182;6.419490;shakerSort
27000;182014189;273550416;6.804459;shakerSort
27500;191072349;287821640;6.801007;shakerSort
28000;196224515;294321736;7.105141;shakerSort
28500;202751417;305106102;7.311018;shakerSort
29000;210539558;316820000;7.362923;shakerSort
